    0.000    1.377    4.806    5.460    7.586    8.018    7.275    9.118    6.509    6.644    6.425    6.089    5.406    5.624   10.044   11.091   10.184   10.454   10.210   11.471   11.849   11.722   12.903   13.175    2.520    6.167    5.417   12.369   12.018   13.264   12.719
    1.377    0.000    3.705    4.482    6.640    7.027    6.224    8.268    6.120    6.393    6.096    5.811    5.218    5.370    9.624   10.592    9.844    9.958    9.728   11.246   11.655   11.503   12.898   13.159    3.588    5.304    4.385   12.137   11.804   13.310   12.732
    4.806    3.705    0.000    1.426    4.738    4.975    4.042    5.723    5.468    5.978    5.546    6.325    6.408    6.210    9.056    9.742    9.457    9.181    8.985   10.876   11.387   11.081   13.112   13.384    6.561    2.644    1.409   11.621   11.325   13.631   12.950
    5.460    4.482    1.426    0.000    5.431    5.723    4.870    5.396    5.193    5.379    5.095    6.932    7.270    6.972    9.393   10.048    9.742    9.522    9.326   10.883   11.434   11.007   13.161   13.479    7.185    1.419    1.411   11.498   11.176   13.658   12.956
    7.586    6.640    4.738    5.431    0.000    1.364    2.176    4.681    6.466    8.271    7.292    5.322    5.836    5.359    6.171    6.560    6.923    6.030    5.879    9.233    9.587    9.713   11.745   11.801    8.723    6.175    5.661   10.284   10.200   12.467   11.821
    8.018    7.027    4.975    5.723    1.364    0.000    1.362    5.418    7.499    9.166    8.253    6.342    6.555    6.243    7.179    7.311    7.989    6.873    6.809   10.318   10.676   10.775   12.827   12.874    9.172    6.551    5.759   11.307   11.238   13.540   12.901
    7.275    6.224    4.042    4.870    2.176    1.362    0.000    5.700    7.403    8.829    8.016    6.539    6.537    6.342    7.989    8.184    8.730    7.734    7.667   10.906   11.308   11.304   13.370   13.464    8.553    5.819    4.763   11.835   11.715   14.039   13.389
    9.118    8.268    5.723    5.396    4.681    5.418    5.700    0.000    4.702    6.231    5.386    6.687    8.261    7.379    6.338    6.871    6.718    6.449    6.192    7.643    8.187    7.802   10.509   10.748   10.355    5.247    6.186    8.174    8.011   11.184   10.435
    6.509    6.120    5.468    5.193    6.466    7.499    7.404    4.702    0.000    2.628    1.408    4.693    6.343    5.495    6.501    8.131    6.315    7.416    6.883    6.530    7.084    6.621    8.681    9.076    7.513    5.075    6.104    7.239    6.841    9.197    8.445
    6.644    6.393    5.978    5.379    8.271    9.166    8.829    6.231    2.628    0.000    1.400    6.582    7.800    7.177    8.775   10.174    8.534    9.566    9.129    8.315    8.851    8.226    9.958   10.462    7.761    4.957    6.266    8.718    8.235   10.281    9.584
    6.425    6.096    5.546    5.095    7.292    8.253    8.016    5.386    1.409    1.400    0.000    5.561    6.968    6.242    7.652    9.153    7.439    8.497    8.018    7.414    7.964    7.401    9.294    9.752    7.502    4.823    6.018    7.951    7.502    9.709    8.980
    6.089    5.811    6.325    6.932    5.322    6.342    6.539    6.687    4.693    6.582    5.561    0.000    2.612    1.416    4.694    6.546    4.753    5.671    5.153    6.816    6.991    7.418    8.438    8.506    6.584    7.465    7.477    8.242    8.024    9.079    8.523
    5.406    5.218    6.408    7.270    5.836    6.555    6.537    8.261    6.342    7.800    6.968    2.612    0.000    1.406    6.548    7.805    6.757    7.093    6.805    8.974    9.104    9.562   10.226   10.261    5.849    8.015    7.552   10.353   10.131   10.761   10.296
    5.624    5.370    6.210    6.972    5.359    6.243    6.342    7.379    5.495    7.177    6.242    1.415    1.406    0.000    5.546    7.040    5.726    6.244    5.864    7.942    8.099    8.538    9.408    9.451    6.111    7.635    7.382    9.340    9.123   10.000    9.488
   10.044    9.624    9.056    9.393    6.171    7.180    7.989    6.338    6.501    8.775    7.652    4.694    6.548    5.546    0.000    3.594    1.408    2.589    1.418    4.768    4.714    5.697    7.040    6.873   10.508    9.664   10.120    6.463    6.508    7.962    7.412
   11.091   10.592    9.742   10.049    6.560    7.311    8.184    6.871    8.131   10.174    9.153    6.545    7.804    7.040    3.594    0.000    4.610    1.373    2.531    7.490    7.389    8.352    9.156    8.960   11.631   10.278   10.737    9.024    9.070    9.940    9.486
   10.184    9.844    9.457    9.742    6.923    7.989    8.730    6.718    6.315    8.535    7.439    4.753    6.757    5.726    1.408    4.610    0.000    3.651    2.582    3.698    3.587    4.705    6.066    5.904   10.570    9.959   10.505    5.515    5.557    7.034    6.477
   10.454    9.958    9.181    9.522    6.030    6.873    7.734    6.449    7.416    9.566    8.497    5.671    7.093    6.244    2.589    1.373    3.651    0.000    1.407    6.677    6.612    7.555    8.550    8.373   11.000    9.791   10.216    8.270    8.298    9.375    8.879
   10.210    9.728    8.985    9.326    5.879    6.809    7.667    6.192    6.883    9.129    8.018    5.153    6.805    5.864    1.418    2.532    2.582    1.407    0.000    5.705    5.662    6.602    7.850    7.681   10.742    9.604   10.036    7.328    7.373    8.731    8.196
   11.471   11.246   10.876   10.883    9.233   10.318   10.906    7.643    6.529    8.315    7.414    6.816    8.974    7.941    4.768    7.491    3.698    6.676    5.705    0.000    1.410    1.430    4.655    4.669   11.818   10.851   11.741    2.535    2.579    5.665    5.007
   11.849   11.655   11.387   11.434    9.587   10.676   11.308    8.187    7.084    8.851    7.963    6.991    9.104    8.099    4.714    7.389    3.587    6.612    5.662    1.410    0.000    2.552    3.697    3.635   12.125   11.426   12.288    3.441    3.544    4.776    4.243
   11.722   11.503   11.081   11.008    9.713   10.775   11.304    7.802    6.621    8.226    7.401    7.418    9.562    8.537    5.697    8.352    4.705    7.555    6.602    1.430    2.553    0.000    5.372    5.478   12.100   10.912   11.874    1.409    1.406    6.288    5.571
   12.903   12.898   13.112   13.161   11.745   12.827   13.370   10.509    8.681    9.958    9.294    8.438   10.226    9.408    7.040    9.156    6.066    8.550    7.850    4.655    3.697    5.372    0.000    1.400   12.947   13.131   13.993    6.203    6.099    1.405    1.408
